         0       188         0         0         0         0         0         0
       784         0        57         0         0         0         0         0
         0      1522         0        68         0         0         0         0
         0         0       659         0         3         0         0         0
         0         0         0      1029         0       408         0         3
         0         0         0         0         9         0      3724         0
         0         0         0         0         0        16         0      1400
         0         0         0         0         0         0       264         0
%
         0         0         0         0         0         0         0         0
         0         0         0         0         0         0         0         0
         0         0         0         0         0         0         0         0
         0         0         0         0         0         0         0         0
         0         0         0         0         0         0         0         0
         0         0         0         0         0         0         0         0
         0         0         0         0         0         0         0         0
         0         0         0         0         0         0         0         0
%
     49953     50000     49940     49207     49704     49997     49999     49999
